seed,time_s,x_m,y_m,heading_rad,yaw_rate_rad_s,steering_command,speed_m_s,left_thrust_N,right_thrust_N
2000,0.04,1.3000788089621687,6.300000190734863,0.0,0.0,0.0,0.003919035387130456,0.9857080735585916,0.9857080735585916
2000,0.24,1.3059269953127486,6.300000190734863,0.0,0.0,0.0,0.06274256848634018,4.064700645408587,4.064700645408587
2000,0.44,1.3272595593263632,6.300000190734863,0.0,0.0,0.0,0.15266798214694707,5.3449742607644914,5.3449742607644914
2000,0.64,1.367319233724635,6.300000190734863,0.0,0.0,0.0,0.24720094853733734,5.870838360155949,5.870838360155949
2000,0.84,1.4257255439125376,6.300000190734863,0.0,0.0,0.0,0.3350722516915267,6.142259310550073,6.142259310550073
2000,1.04,1.5007071701431804,6.300000190734863,0.0,0.0,0.0,0.4127379219733281,6.368061020562697,6.368061020562697
2000,1.24,1.5901785134745423,6.300000190734863,0.0,0.0,0.0,0.48009867921715604,6.6166746397593545,6.6166746397593545
2000,1.44,1.6921819681496655,6.300000190734863,0.0,0.0,0.0,0.5382912624754776,6.898137573774195,6.898137573774195
2000,1.64,1.8050220681193054,6.300000196037582,1.37591528834014e-05,0.000398020863329658,0.04136986190687262,0.5887002490686178,7.066965487208725,7.339346893276977
2000,1.84,1.9272716759380466,6.300002556727588,0.00030328648846844413,0.002674288950403996,0.03908225869065336,0.6325918367023219,7.201205948112433,7.8370326912559385
2000,2.04,2.0577362662688,6.300026185455028,0.001087640603763474,0.004817690232511817,0.0,0.6710209502113957,7.625273599028906,8.045559093495113
2000,2.24,2.1954115695175793,6.300111771996764,0.0021006603376945857,0.005114731229528669,0.0,0.7048395557907586,8.066274546026188,8.222663762646844
2000,2.44,2.3394463815484787,6.300300099525396,0.0030810661076009055,0.004621799490801782,0.0,0.7347327455882271,8.422014224849818,8.460694628015634
2000,2.64,2.4891129246318155,6.300616385481903,0.003933333806659711,0.0038902603857192417,0.0,0.761255358824371,8.728224177073185,8.718043985025444
2000,2.84,2.6437839284046962,6.3010695642740995,0.004636703323582761,0.00315545395574696,0.0,0.7848618082266099,9.001946409628067,8.974565372218207
2000,3.04,2.8029149452857585,6.301656618215896,0.0052009590794746645,0.002506211849390285,0.0,0.8059287528788573,9.25142067791206,9.220783677409889
2000,3.24,2.9660305770273414,6.3023673356032415,0.005646211717092269,0.0019658326564326984,0.0,0.8247719555158132,9.480800402535815,9.452544083586151
2000,3.44,3.132713602159394,6.303188037060176,0.005994081247187094,0.0015302309678865518,0.0,0.841658801553549,9.692380330603154,9.66834919620015
2000,3.64,3.30259627044187,6.304104071408858,0.006264203779276117,0.0011855035461115395,0.0,0.8568176862490773,9.887633614618323,9.868026102758213
2000,3.84,3.475353237535962,6.3051013011049015,0.00647315133248537,0.0009156923300299393,0.0,0.8704451569766882,10.067683292966041,10.05205378809152
2000,4.04,3.650695760102872,6.306166864235524,0.00661127614197485,3.7416656283612005e-05,-0.06948740899126715,0.8827114361858918,10.46226298615029,9.99246551979322
2000,4.24,3.8283669088928405,6.30728435573524,0.006242199702256712,-0.00405703528402619,-0.06948740899126715,0.893764783162817,10.941776320895999,9.820696805598196
2000,4.44,4.008137716595505,6.308402827750601,0.004915781906077873,-0.009222743515385445,-0.06948740899126715,0.9037347468282567,11.214112297122314,9.830702720778595
2000,4.64,4.1898037343451495,6.309418459935668,0.002565410775787475,-0.014176913036419905,-0.06948740899126715,0.9127344946742052,11.386369907922964,9.917177031411336
2000,4.84,4.373181670771546,6.310189641698875,-0.0007121495346559617,-0.018457768530010566,-0.06787210592154712,0.9208632374466267,11.506889980044017,10.033493295703995
2000,5.04,4.558106340343903,6.310558934965906,-0.004762537769821463,-0.02190123152637144,-0.06761677641496107,0.9282086735895483,11.59538397918619,10.161574101691254
2000,5.24,4.744428105064446,6.310371061279062,-0.009403355066807196,-0.02433192988063992,-0.06021629081181277,0.934849024698717,11.630448817000062,10.324381219591613
2000,5.44,4.932010873335114,6.309486292322574,-0.014423797870098868,-0.025549266365014357,0.0,0.9408546003739492,11.548526999952806,10.586959637044178
2000,5.64,5.120730686644902,6.3077923789393875,-0.019376575027663562,-0.023559572729406623,0.0,0.9462892777588704,11.289569088723246,11.010783701614724
2000,5.84,5.310475227132844,6.30522977761884,-0.02377804122669275,-0.020996390950656876,-0.09999999999999998,0.9512120938608836,11.549100698783,10.901715591853684
2000,6.04,5.5011436701345096,6.301800408769429,-0.028120903111549914,-0.022960229421536214,-0.09999999999999998,0.9556747097533541,12.034973721205928,10.553171550915057
2000,6.24,5.692644561831119,6.297504265722063,-0.03309334250460208,-0.026885452676842937,-0.09999999999999998,0.9597197197667471,12.2759727648311,10.437424542489994
2000,6.44,5.884892979882719,6.292288926775057,-0.03889436765529663,-0.03107936242372143,-0.09999999999999998,0.9633843988001306,12.401162873453206,10.42634698924343
2000,6.64,6.077808876811295,6.286054959097977,-0.04549326610264031,-0.03453537310169398,0.0,0.9667026566523067,12.294269102547688,10.637088714430622
2000,6.84,6.271316438212564,6.278681424221216,-0.052302829836143046,-0.03282192716890438,0.0,0.9697068473368615,11.78192677233066,11.243868118270703
2000,7.04,6.465346156878079,6.270085531720864,-0.05846448339334783,-0.02915352601979703,-0.08752225560595886,0.9724311664892901,11.870975039598052,11.240784885825056
2000,7.24,6.659837808076202,6.260266394493965,-0.06423903975445779,-0.02900322410448249,-0.07275874563432394,0.974906278299721,12.199587680026838,10.99055074567986
2000,7.44,6.854738039762505,6.24925151148305,-0.07012995393786939,-0.029946852234469704,-0.07158726395969364,0.9771550064715894,12.289253807002867,10.972334448408278
2000,7.64,7.0499968886746585,6.237047942653205,-0.07617830667200537,-0.03040098345322183,-0.05530996830653421,0.9791970283781797,12.240013932335652,11.086653758563845
2000,7.84,7.245567324712676,6.223647473149087,-0.0822233635850525,-0.029839631141508935,-0.0382420465799878,0.9810512500372381,12.13949622701332,11.246424443898567
2000,8.04,7.441406247636779,6.209046480667896,-0.08805346380658406,-0.028394008451599867,-0.0382420465799878,0.982736009001174,12.084692595300682,11.355192852670525
2000,8.24,7.6374755979457385,6.193260584688943,-0.09356790877918733,-0.02675998343545646,-0.0382420465799878,0.9842683575048085,12.077074271691318,11.411998303940836
2000,8.44,7.833742462689475,6.176324739583081,-0.09876498079765482,-0.0252479006387415,-0.0382420465799878,0.9856632941185154,12.08965547822849,11.444280876466227
2000,8.64,8.03017835402565,6.158285250267565,-0.10372981963228796,-0.02494271265116359,-0.09270382636888726,0.9869337647847822,12.359092552063107,11.215778918291152
2000,8.84,8.226757448858434,6.1391841359431165,-0.10895086993048736,-0.0275605302602617,-0.09999999999999998,0.9880899136407878,12.645555169225142,10.966637132999205
2000,9.04,8.423452135886109,6.1190229261440425,-0.11482199508661045,-0.03118563304716195,-0.09999999999999998,0.9891391258765718,12.773539701273334,10.872583275446688
