timestamp,state,speed_target_mps,speed_mps,yaw_rate_rads,mid_pwm,delta_pwm_cmd,delta_pwm_safe,left_pwm,right_pwm,speed_idx,repeat_idx,"note_rule:+Δ=좌회전,-Δ=우회전,PWM낮을수록전진(1100~1500)"
1755197829.961855509,SETTLE,0.700,0.371,0.07674,1350,0,0,1350,1350,0,0
1755197830.011895921,SETTLE,0.700,0.431,0.07449,1348,0,0,1348,1348,0,0
1755197830.062124816,SETTLE,0.700,0.431,0.08336,1345,0,0,1345,1345,0,0
1755197830.111801415,SETTLE,0.700,0.431,0.03768,1342,0,0,1342,1342,0,0
1755197830.162167336,SETTLE,0.700,0.431,0.00834,1340,0,0,1340,1340,0,0
1755197830.211729630,SETTLE,0.700,0.510,-0.00798,1338,0,0,1338,1338,0,0
1755197830.261515287,SETTLE,0.700,0.510,-0.00454,1335,0,0,1335,1335,0,0
1755197830.312210875,SETTLE,0.700,0.510,-0.01855,1332,0,0,1332,1332,0,0
1755197830.361584559,SETTLE,0.700,0.510,-0.03300,1330,0,0,1330,1330,0,0
1755197830.411914574,SETTLE,0.700,0.583,-0.03150,1328,0,0,1328,1328,0,0
1755197830.461999563,SETTLE,0.700,0.583,-0.03014,1325,0,0,1325,1325,0,0
1755197830.511552577,SETTLE,0.700,0.583,-0.02873,1322,0,0,1322,1322,0,0
1755197830.561553117,SETTLE,0.700,0.583,-0.02634,1320,0,0,1320,1320,0,0
1755197830.612169440,SETTLE,0.700,0.663,-0.01810,1318,0,0,1318,1318,0,0
1755197830.662090651,SETTLE,0.700,0.663,-0.02136,1315,0,0,1315,1315,0,0
1755197830.711552208,SETTLE,0.700,0.663,-0.00962,1312,0,0,1312,1312,0,0
1755197830.762165747,SETTLE,0.700,0.663,-0.01230,1310,0,0,1310,1310,0,0
1755197830.811587367,SETTLE,0.700,0.732,-0.03084,1308,0,0,1308,1308,0,0
1755197830.861522306,SETTLE,0.700,0.732,-0.03700,1305,0,0,1305,1305,0,0
1755197830.911548862,SETTLE,0.700,0.732,-0.03937,1302,0,0,1302,1302,0,0
1755197830.961550714,SETTLE,0.700,0.732,-0.04815,1300,0,0,1300,1300,0,0
1755197831.011941498,SETTLE,0.700,0.806,-0.04074,1298,0,0,1298,1298,0,0
1755197831.061727539,SETTLE,0.700,0.806,-0.03543,1295,0,0,1295,1295,0,0
1755197831.111526220,SETTLE,0.700,0.806,-0.03498,1292,0,0,1292,1292,0,0
1755197831.161556232,SETTLE,0.700,0.806,-0.03901,1290,0,0,1290,1290,0,0
1755197831.211553956,SETTLE,0.700,0.872,-0.05360,1288,0,0,1288,1288,0,0
