x,y,theta,v,omega,distance,heading_error,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8
53.991673312864734,99.74203844595857,0.035464824921019905,4.0,0.1,896.0083638208092,-0.03517692408435247,0.97979796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9191919
57.989158068897765,99.883868010167,-0.0645351750789801,4.0,-0.1,892.0108494907856,0.06466536630953224,0.8888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61.9808313817625,99.62590645612558,-0.1645351750789801,4.0,-0.1,888.019247414945,0.16495644247383473,0.8181818,0.97979796,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.92680977118857,98.97073125041152,-0.1645351750789801,4.0,0.0,884.0737893838427,0.1656994093255635,0.8181818,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69.87278816061465,98.31555604469746,-0.1645351750789801,4.0,0.0,880.1288237363942,0.16644903693441598,0.8080808,0.959596,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73.81876655004072,97.6603808389834,-0.1645351750789801,4.0,0.0,876.18435712338,0.1672054144210942,0.8080808,0.959596,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77.7647449394668,97.00520563326934,-0.1645351750789801,4.0,0.0,872.2403963150368,0.16796863248760038,0.7979798,0.94949496,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.71072332889287,96.35003042755528,-0.0645351750789801,4.0,0.1,868.2969482037319,0.06873878345210035,0.85858583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85.7023966417576,96.09206887351385,-0.0645351750789801,4.0,0.0,864.3064381898882,0.0690566552731865,0.85858583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89.69406995462234,95.83410731947242,-0.1645351750789801,4.0,-0.1,860.3160163178807,0.1693774759100462,0.7878788,0.93939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93.64004834404841,95.17893211375836,-0.1645351750789801,4.0,0.0,856.3735221827842,0.17016483693471562,0.7878788,0.9292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97.58602673347448,94.5237569080443,-0.0645351750789801,4.0,0.1,852.4315638562589,0.0709594805520682,0.8484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101.57770004633922,94.26579535400288,0.035464824921019905,4.0,0.1,848.4416775250858,-0.02870625983302269,0.9292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697
105.57518480237225,94.40762491821131,-0.0645351750789801,4.0,-0.1,844.4433333152693,0.07115778164192756,0.83838385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109.56685811523698,94.14966336416988,0.035464824921019905,4.0,0.1,840.4535040185427,-0.0285038403397593,0.9292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697
113.56434287127001,94.29149292837832,0.1354648249210199,4.0,0.1,836.4551366148438,-0.12864012968554658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888889
117.52769752418183,94.83169649671368,0.1354648249210199,4.0,0.0,832.4883457145164,-0.1292565257534183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888889
121.49105217709365,95.37190006504903,0.035464824921019905,4.0,-0.1,828.5218741419126,-0.029878823937546165,0.93939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959596
125.48853693312668,95.51372962925747,-0.0645351750789801,4.0,-0.1,824.5236681566608,0.06997624691267394,0.8484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129.48021024599143,95.25576807521604,-0.0645351750789801,4.0,0.0,820.5335051748457,0.07031709419466624,0.8484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133.47188355885618,94.99780652117461,-0.0645351750789801,4.0,0.0,816.5434384516979,0.07066127264017465,0.8484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137.46355687172093,94.73984496713318,0.035464824921019905,4.0,0.1,812.55346940526,-0.02899116875963205,0.9292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959596
141.46104162775396,94.88167453134162,0.035464824921019905,4.0,0.0,808.5551585768777,-0.029134570765549546,0.9292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959596
145.458526383787,95.02350409555005,0.035464824921019905,4.0,0.0,804.5568645409935,-0.029279398064366257,0.93939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959596
149.45601113982002,95.16533365975849,0.1354648249210199,4.0,0.1,800.5585875492121,-0.12942567200532504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8787879
153.41936579273184,95.70553722809385,0.1354648249210199,4.0,0.0,796.5922101078776,-0.1300737559153308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8787879
